state,2,3,4,5,6,7,8,9,10,11,
5 0 0,DD,S,S,H,DD,DD,DD,DD,H,S,
6 0 0,DD,DD,DD,S,DD,S,H,H,DD,H,
7 0 0,DD,DD,DD,DD,DD,S,S,DD,H,S,
8 0 0,DD,DD,DD,DD,DD,DD,DD,S,DD,H,
9 0 0,DD,DD,DD,DD,DD,DD,DD,DD,S,H,
10 0 0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,
11 0 0,DD,DD,DD,DD,DD,DD,DD,DD,DD,H,
12 0 0,DD,DD,DD,DD,DD,DD,DD,S,S,DD,
13 0 0,DD,DD,S,S,S,DD,S,DD,DD,DD,
14 0 0,S,DD,S,DD,S,H,DD,H,DD,DD,
15 0 0,S,DD,DD,DD,S,H,S,DD,H,H,
16 0 0,DD,H,H,S,S,H,DD,DD,H,DD,
17 0 0,DD,S,S,S,S,S,H,H,DD,H,
18 0 0,S,S,S,S,S,S,S,S,S,S,
19 0 0,S,S,S,S,S,S,S,S,S,S,
20 0 0,S,S,S,S,S,S,S,S,S,S,
13 1 0,DD,H,DD,DD,DD,DD,H,H,H,H,
14 1 0,DD,DD,DD,DD,DD,DD,DD,H,H,H,
15 1 0,DD,DD,DD,DD,DD,DD,DD,H,H,H,
16 1 0,H,DD,DD,DD,DD,DD,DD,DD,H,H,
17 1 0,DD,DD,DD,DD,DD,DD,H,DD,H,H,
18 1 0,DD,DD,S,DD,DD,DD,S,H,H,H,
19 1 0,S,DD,DD,S,DD,S,S,DD,S,H,
20 1 0,S,DD,S,S,S,S,S,S,S,S,
4 0 1,DD,S,DD,DD,DD,S,DD,P,S,S,
6 0 1,DD,S,DD,DD,DD,S,DD,S,P,S,
8 0 1,DD,DD,DD,DD,DD,DD,DD,S,P,P,
10 0 1,DD,DD,DD,DD,DD,DD,DD,DD,DD,H,
12 0 1,DD,P,DD,DD,DD,P,DD,H,H,H,
14 0 1,DD,S,S,DD,DD,P,DD,P,P,P,
16 0 1,DD,DD,P,P,DD,S,P,DD,S,DD,
18 0 1,S,S,S,S,S,S,S,S,S,DD,
20 0 1,S,S,S,S,S,S,S,S,S,S,
12 1 1,P,P,P,P,P,P,P,P,P,P,
